ID,Suite Title,Title,Description
,Раздел «Корзина»,,
1,Корзина,Отображение раздела Корзина в блоке Меню,
3,Корзина,"Отображение счетчика добавленных позиций (<99, 99, 99<)",
4,Корзина,Открытие модального окна,
5,"Модальное окно ""Корзина""",Отображение счетчика добавленных блюд,
6,"Модальное окно ""Корзина""","Окончания слова (блюдо, блюда, блюд) в зависимости от кол-во позиций",
7,"Модальное окно ""Корзина""",Отображение карточек добавленных позиций,
8,"Модальное окно ""Корзина""","Превью карточки блюда (Название, изображение)",
9,"Модальное окно ""Корзина""",Степпер кол-ва для блюда (минимальное 1),Уточнить максимальное число
10,"Модальное окно ""Корзина""",Отображение стоимости за единицу (слева от степпера),
11,"Модальное окно ""Корзина""",Отображение стоимости за выбранное кол-во на степпере (справа от степпера),
12,"Модальное окно ""Корзина""",Удаление позиции из корзины (клик на крестик),
13,"Модальное окно ""Корзина""",Наличие кнопки Закрытия (закрыть модальное окно),
14,"Модальное окно ""Корзина""",Отображение суммы заказа - “Всего”,
15,"Модальное окно ""Корзина""",Отображение налога со стороны ресторана - “Сервисный сбор”,
16,"Модальное окно ""Корзина""",Отображение суммы заказа + сервисный сбор - “Всего с учетом сбора”,
17,"Модальное окно ""Корзина""",Переход на страницу Оплата при клике на кнопку подтверждения заказа,
18,"Модальное окно ""Корзина""",Отображение заглушки “В корзине пусто”,
19,"Модальное окно ""Корзина""",Отображение заглушки “Отсутствует подключение к сети”,
20,"Модальное окно ""Корзина""",Кнопка обновления модального окна при отсутствии подключения к сети,
,Раздел «Поиск»,,
21,Поиск,Отображение раздела Поиск в блоке Меню,
22,Поиск,При клике на иконку Лупы открытие модального окна Поиск,
23,"Модальное окно ""Поиск""",В модальном окне отображается строка поиска с подсказкой в поле ввода текста “Введите ваш запрос…”,
24,"Модальное окно ""Поиск""",При вводе поискового запроса исчезает плейсхолдер,
25,"Модальное окно ""Поиск""","При клике на крестик закрывается модальное окно, пользователь возвращается на ту же страницу, с который было выполнено открытие",
26,"Модальное окно ""Поиск""",Поисковая строка на вход принимает кириллицу,
27,"Модальное окно ""Поиск""",Поисковая строка на вход принимает латиницу,
28,"Модальное окно ""Поиск""",Поисковая строка на вход принимает цифры,
29,"Модальное окно ""Поиск""",Данные в поле ввода могут быть введены с клавиатуры,
30,"Модальное окно ""Поиск""",Данные в поле ввода могут быть введены из буфера обмена,
31,"Модальное окно ""Поиск""",Ввод и выполнение поискового запроса от 1 до 256 символов,Уточнить минимальную допустимую длину
32,"Модальное окно ""Поиск""",Ввод спецсимволов - поле подсвечивается красным и под полем отображается текст: “Неверный формат данных”,
33,"Модальное окно ""Поиск""",Ввод только пробелов - поле подсвечивается красным и под полем отображается текст: “Неверный формат данных”,
34,"Модальное окно ""Поиск""",Ввод эмоджи - поле подсвечивается красным и под полем отображается текст: “Неверный формат данных”,
35,"Модальное окно ""Поиск""",Ввод иероглифов - поле подсвечивается красным и под полем отображается текст: “Неверный формат данных”,
36,"Модальное окно ""Поиск""","Выполнение пустого поискового запроса - кнопка выполнения запроса неактивна, запрос не исполняется",Уточнить у прода
37,"Модальное окно ""Поиск""",При вводе в поле более 256 символов - в поле остается 256 символов,"Уточнить у прода ""только отображение или обрезка запроса"""
38,"Модальное окно ""Поиск""",Под строкой поиска есть чекбокс “Искать только точные совпадения”,Ссылка на макет https://...
44,"Модальное окно ""Поиск""","Чекбокс “Искать только точные совпадения”: если поиск выполнен с включенным чекбоксом, то в выдаче только точные совпадения с запросом",
45,"Модальное окно ""Поиск""","Чекбокс “Искать только точные совпадения”: если поиск выполнен с выключенным чекбоксом, то выдача 
 релевантная",
39,"Модальное окно ""Поиск""","При введенном поисковом запросе и клике на лупу выполняется поисковой запрос - открывается страниц ""Поиск"" с выдачей",
40,"Модальное окно ""Поиск""",При вводе поискового запроса пользователю отображаются садджесты,
41,"Модальное окно ""Поиск""",При отсутствии интернет соединения отображается заглушка “Отсутствует соединение с интернетом”,
42,"Модальное окно ""Поиск""",На заглушке “Отсутствует соединение с интернетом” отображается кнопка “Обновите страницу”,
43,"Модальное окно ""Поиск""",При клике на кнопку “Обновите страницу” отображается строка “Поиск”,
