ID,Suite Title,Title,Description,Status,Commentary
,Профиль,,,,
1,,Переход по короткой ссылке с указанием короткого имени,"Только при наличии установленного короткого имени
Ссылка формата: https://you.la/short_name",,
2,,Наличие короткого имени на экране профиля,Только при наличии установленного короткого имени,,
3,,Соответствие короткого имени regex шаблону,"'/^(?!\.)(?!.*\.$)(?!.*?\.\.)(?=.*[a-z])[a-z\d_.]{4,20}$/iu'
Содержит 1 букву, точки только между символами, длина от 4 до 20 символов a-zA-Z0-9_.",,
,Личные данные,,,,
4,,Наличие поля короткого имени на экране личных данных,,,
5,,Отображение короткого имени в поле ,Только при наличии установленного короткого имени,,
6,,"Наличие текста ""Укажите короткое имя” в поле при отсутсвии установленного короткого имени",,,
7,,"Отображение текста ""Укажите короткое имя” красным цветом","14px, цвет rgb(133, 133, 133)",,
8,,Наличие кнопки “Указать” в поле,,,
9,,"Открытие модального окна “Короткое имя” при нажатии на кнопку ""Указать""",,,
,Модальное окно “Короткое имя”,,,,
10,,Наличие заголовка “Короткое имя”,20px,,
11,,Наличие текстбокса “Укажите удобное Вам короткое имя”,,,
12,,Наличие поля ввода короткого имени,,,
13,,Наличие плесхолдера “Ваше короткое имя…” в поле ввода ,,,
14,,Поле принимает на ввод текс соответствующий regex шаблону,"'/^(?!\.)(?!.*\.$)(?!.*?\.\.)(?=.*[a-z])[a-z\d_.]{4,20}$/iu'
Содержит 1 букву, точки только между символами, длина от 4 до 20 символов a-zA-Z0-9_.",,
15,,"Отображение ошибки ""Слишком короткое имя"" при валидации строки менее 4 символов",,,
16,,"Отображение ошибки ""Слишком длинное имя"" при валидации строки более 20 символов",,,
17,,"Отображение ошибки ""Короткое имя уже занято"" при валидации не уникального имени",,,
18,,"Отображение ошибки ""Пустое короткое имя"" при валидации пустой строки",,,
19,,Наличие крестика при заполном поле ввода ,,,
20,,Очистка поля ввода при нажатии на крестик,,,
21,,Наличие текстбокса с описанием (условием) для короткого имени под полем ввода ,,,
22,,"Наличие кнопки ""Сохранить""",,,
23,,"Сохранение короткого имени при успешной валидации поля ввода и нажатии на кнопку ""Сохранить""","“Вы можете использовать данное короткое имя, оно не занято”",,
24,,Отображение под полем ввода короткой ссылки после сохранения короткого имени,Ссылка формата: https://you.la/short_name,,
25,,Сохранение ссылки в буфер обмена при нажатии на ссылку,,,
26,,Отображение тоаста с текстом “Короткое имя скопировано” при нажатии на ссылку,,,
27,,"Сохранение незаполненого короткого имени при незаполнении поля ввода и нажатии на кнопку ""Сохранить""",,,
28,,"Наличие кнопки ""Отмена""",,,
29,,"Очистка поля ввода и закрытие модального окна при нажатии на кнопку ""Отмена""",,,
