№,Проверка,Статус,Комментарий
"Блок ""Хедер""",,,
1,"Блок ""Хедер"" присутствует на странице",,
2,Фоновое изображение присутствует на хедере и отображается корректно,,
3,Логотип компании присутствует на хедере и отображается корректно,,
4,Даты проведения конференции указаны корректно,,
5,Заголовок конференции присутствует на хедере,,
6,"Кнопка ""Купить билеты"" расположена на хедере и является кликабельной",,
7,При клике на кнопку происходит переход на страницу покупки билетов,,
"Блок ""Описания конференции""",,,
8,"Блок ""Описания конференции"" присутстувует на странице ",,
9,"Блок с описанием конференции расположен ниже блока ""Хедером""",,
10,Каунтер обратного отсчета до начала конференции находится под описанием,,
11,Даты проведения конференции находятся под каунтером,,
12,"Кнопка ""Купить билеты"" расположена под датами проведения и является кликабельной",,
13,"При клике на кнопку ""Купить билеты"" происходит переход на страницу покупки билетов",,
"Блок ""Почему стоит посетить""",,,
14,"Блок ""Почему стоит посетить"" присутстувует на странице ",,
15,"Блок имеет заголовок ""Почему стоит посетить""",,
16,В блоке размещены поинты с содержанием,,
17,"Каждый поинт содержит изображение, название и описание",,
18,"Кнопка ""Подробнее"" расположена под каждым поинтом ",,
19,"Кнопка ""Узнать больше"" расположена под всем блоком ""Почему стоит посетить"" ",,
20,"При клике на кнопку ""Узнать больше"" происходит переход на страницу с описанием конференции",,
21,"Кнопка ""Купить билеты"" расположена справа от кнопкой ""Узнать больше"" и является кликабельной",,
22,"При клике на кнопку ""Купить билеты"" происходит переход на страницу покупки билетов",,
"Блок ""Жюри""",,,
23,"Блок ""Жюри"" присутстувует на странице ",,
24,В блоке размещена галлерея карточек членов жюри,,
25,Количество столбцов в галлерее равно 4,,
26,Каждая карточка имеет синюю обводки вокруг карточки,,
27,Каждая карточка имеет изображение члена жюри,,
28,Каждая карточка в нижней части имеет прямоугольный текстовый блок ,,
29,В текстовом блоке присутствует имя и фамилия члена жюри,,
30,В текстовом блоке присутствует должность члена жюри,,
31,"При наведении курсора мыши на карточку, она увеличивается в размере и фон затемняется",,
"Блок ""Расписание""",,,
32,"Блок ""Расписание"" присутстувует на странице ",,
33,"Расписание содержит 4 таба, соответствующих дням конференции",,
34,Каждый таб содержит внутри карточки докладов,,
35,Каждая карточка содержит фотографию спикера и название его компании,,
36,Блока с датой и описанием доклада отображается справа от фотографии,,
"Блок ""Стоимость участия""",,,
37,"Блок ""Стоимость участия"" присутстувует на странице ",,
38,"В блоке размещены три карточки: Normal, Advanced, Ultimate",,
39,Карточка - Ultimate отображается по центру ,,
40,Каждая карточка имеет текстовый блок с описанием,,
41,Каждая карточка имеет текстовый блок с ценой,,
42,"Каждая карточка имеет кликабельную кнопку ""Купить билеты""",,
43,"При клике на кнопку ""Купить билеты"" происходит переход на страницу покупки билетов",,
"Блок ""Карусель партнеров""",,,
44,"Блок ""Карусель партнеров"" присутстувует на странице ",,
45,В карусели отображаются карточки с логотипами партнеров,,
"Блок ""Галерея""",,,
46,"Блок ""Галерея"" присутстувует на странице ",,
47,"В блоке ""Галерея"" находится фотогалерея с изображениями с предыдущих конференций",,
"Блок ""Карта""",,,
48,"Блок ""Карта"" присутстувует на странице ",,
49,"Блок ""Карта"" расположен ниже блока ""Галерея""",,
50,Карта содержит поинтер с точное местоположением проведения конференции,,
